Companies,SectorCategory,HQ_Country,Countries_Filled,Backdate,Responded,German,Regions,Response.Sectors,Responded.To,Tags
"Pongrawe Co., Ltd.",Infrastructure and utilities,TH,MM,2023-01-09,No,0,NA,Transport: General,Myanmar: Report tracks cos involved in the aviation fuel supply chain amid findings that the military relies on fuel to power aircraft used in unlawful air strikes,Complicity|Killings|Security Issues & Conflict Zones
Japan Shipowners Mutual Protection & Indemnity Association,Financial services,JP,MM,2023-01-09,No,0,NA,Insurance,Myanmar: Report tracks cos involved in the aviation fuel supply chain amid findings that the military relies on fuel to power aircraft used in unlawful air strikes,Complicity|Killings|Security Issues & Conflict Zones
Fristads,Retail and consumer products,SE,MM,2023-01-20,Yes,0,NA,Clothing & textile,Myanmar: Garment workers allege facing wage cuts & dismissal if they fail to meet increased production targets; incl. co. response,Labour Rights
Dialog Group,Infrastructure and utilities,MY,MM,2023-01-09,No,0,NA,Energy,Myanmar: Report tracks cos involved in the aviation fuel supply chain amid findings that the military relies on fuel to power aircraft used in unlawful air strikes,Complicity|Killings|Security Issues & Conflict Zones
Analog Devices,Information technology,US,RU|US,2023-01-09,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Walmart,Retail and consumer products,US,CN,2023-01-10,No,0,NA,Consumer products/retail: General,Human rights advocates raise concerns that Milwaukee Tool gloves are made with forced labour in a Chinese prison; incl. co. responses,Forced Labour & Modern Slavery|Human Rights Defenders|Prison Labour
Amazon.com,Other,US,CN,2023-01-10,Yes,0,NA,Consumer products/retail: General,Human rights advocates raise concerns that Milwaukee Tool gloves are made with forced labour in a Chinese prison; incl. co. responses,Forced Labour & Modern Slavery|Human Rights Defenders|Prison Labour
U-blox,Information technology,CH,RU|UA|US,2023-01-10,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Microchip Technology,Information technology,US,BY|RU|UA|US,2023-01-10,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Calliope,Retail and consumer products,IT,MM,2023-01-24,No,0,NA,NA,Myanmar: Garment workers report several rights violations at garment factory; incl. co. responses,Labour Rights
Texas Instruments,Information technology,US,IR|RU|UA|US,2023-01-11,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Western-made components found in weapons used in Russia’s suspected Ukraine war crimes, new investigation reveals",Deaths|Sanctions|Security Issues & Conflict Zones|Trade
"Qorvo, Inc.",Information technology,US,RU|UA|US,2023-01-13,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Amazon.com,Other,US,IN,2023-01-16,No,0,Asia & Pacific,Express delivery,"India: Fairwork India ratings 2022 reveal poor working conditions in platform economy, five companies score 0/10",Gig Economy|Labour Rights
Ola Cabs,Infrastructure and utilities,IN,IN,2023-01-16,No,0,Asia & Pacific,Taxi,"India: Fairwork India ratings 2022 reveal poor working conditions in platform economy, five companies score 0/10",Gig Economy|Labour Rights
Uber,Information technology,US,IN,2023-01-16,No,0,Asia & Pacific,Taxi,"India: Fairwork India ratings 2022 reveal poor working conditions in platform economy, five companies score 0/10",Gig Economy|Labour Rights
Dunzo,Infrastructure and utilities,IN,IN,2023-01-16,No,0,Asia & Pacific,Express delivery,"India: Fairwork India ratings 2022 reveal poor working conditions in platform economy, five companies score 0/10",Gig Economy|Labour Rights
PharmEasy,Financial services,IN,IN,2023-01-16,No,0,Asia & Pacific,Pharmacies,"India: Fairwork India ratings 2022 reveal poor working conditions in platform economy, five companies score 0/10",Gig Economy|Labour Rights
Gumstix,Information technology,US,RU|UA|US,2023-01-16,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Deaths|Sanctions|Security Issues & Conflict Zones|Trade
"Super Micro Computer, Inc.",Information technology,US,RU|UA|US,2023-01-16,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Deaths|Sanctions|Security Issues & Conflict Zones|Trade
Lücker Baustellenentsorgung GmbH,Heavy manufacturing,DE,DE,2023-01-16,No,1,NA,NA,Germany: Energy company RWE demolishes village Lützerath for coal mining despite opposition from residents and climate activists,Climate Crisis|Climate Justice
Hong Tze Enterprise,Food and beverage,MY,MY,2023-01-13,Yes,0,NA,Agriculture & livestock,"Malaysia: Wage theft & physical abuse cited by Nepali workers receiving Embassy aid; Hong Tze Enterprise responded, Khoji Recruitment did not",Migrants & Immigrants|Violence|Workers/Employees
Vivalsa,Heavy manufacturing,LT,BY|LT,2023-01-16,Yes,0,NA,Manufacturing: General,"Belarusian wood allegedly exported to EU through Central Asia under forged docs despite sanctions, investigation reveals; incl. cos. responses & non-responses",Trade
Agro KG,Food and beverage,KG,BY|KG,2023-01-16,No,0,Europe & Central Asia,Manufacturing: General,"Belarusian wood allegedly exported to EU through Central Asia under forged docs despite sanctions, investigation reveals; incl. cos. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Belarusian Forest Company,Heavy manufacturing,BY,BY,2023-01-16,No,0,Europe & Central Asia,Manufacturing: General,"Belarusian wood allegedly exported to EU through Central Asia under forged docs despite sanctions, investigation reveals; incl. cos. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Khoji Recruitment,Financial services,NP,MY,2023-01-16,No,0,NA,NA,"Malaysia: Wage theft & physical abuse cited by Nepali workers receiving Embassy aid; Hong Tze Enterprise responded, Khoji Recruitment did not",Migrants & Immigrants|Violence
SLB (former Schlumberger),Extractive,US,RU|UA|US,2022-12-21,No,0,Europe & Central Asia,"Oil, gas & coal","CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",BHRRC Project: Weekly Update|Complicity|Sanctions|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs)
JPMorgan Chase,Financial services,US,RU|UA|US,2022-12-21,No,0,Europe & Central Asia,Finance & banking,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Deaths|Sanctions|Security Issues & Conflict Zones|UN Guiding Principles on Business & Human Rights (UNGPs)
Abu Dhabi National Oil Co. (ADNOC),Extractive,AE,AE,2023-01-19,No,0,NA,"Oil, gas & coal",UAE: Appointment of oil giant ADNOC CEO to COP28 presidency raises alarm among environmental activists; ADNOC did not respond,Climate Crisis|Climate Justice|UN Climate Change Conference
Ternium (part of Techint Group),Heavy manufacturing,LU,MX,2023-01-19,Yes,0,NA,Mining,Mexico: Nahua community defenders disappear hours after meeting with Ternium mining company representatives,"Clean, Healthy & Sustainable Environment|Disappearances|Human Rights Defenders|Indigenous Peoples|Land Rights"
Zangezur Copper Molybdenum Combine,Extractive,AM,AM,2023-01-20,Yes,0,Europe & Central Asia,Mining,Tehmine Yenokyan,Freedom of Expression|Lawsuits & regulatory action
Ternium (part of Techint Group),Heavy manufacturing,LU,MX,2023-01-20,Yes,0,NA,Mining,Mexico: Nahua community defenders disappear hours after meeting with Ternium mining company representatives,"Clean, Healthy & Sustainable Environment|Disappearances|Human Rights Defenders|Indigenous Peoples|Land Rights"
Xilinx,Information technology,US,RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
SIMcom,Information technology,US,RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
IK Tech Corporation,Information technology,US,RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
JST Manufacturing,Information technology,US,RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Industrial Components Weirich,Information technology,DE,RU,2023-01-24,No,1,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
GA Universal,Information technology,US,RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Ciklomen,Extractive,RS,RS,2023-01-24,No,0,NA,Mining,Serbia: Journalists attacked while reporting on environmental pollution related to mining project; Ciklomen did not respond,Human Rights Defenders
Luchengtech,Information technology,CN,CN|RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Xinghua Co Ltd,Information technology,CN,CN|RU,2023-01-24,No,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
STMicroelectronics,Information technology,CH,RU|UA|US,2023-01-12,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Raiffeisen Zentralbank (RZB Group),Financial services,AT,RU|UA,2023-01-26,Yes,0,Europe & Central Asia,Finance & banking,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Sanctions|Security Issues & Conflict Zones
Solamoda Garment Group,Heavy manufacturing,CN,MM,2022-07-07,No,0,NA,Clothing & textile,Myanmar: Union alleges garment workers 'in agony' after receiving no compensation following factory fire; incl. co . response,Labour Rights
adidas,Retail and consumer products,DE,MM,2023-01-27,Yes,1,NA,NA,"Myanmar: Over 2,000 workers at adidas supplier factory protest for wage increase, union recognition & improved working conditions; incl. co. response",Labour Rights
Heidelberg Materials (HeidelbergCement),Heavy manufacturing,DE,DE|RU|UA,2023-01-26,Yes,1,Europe & Central Asia,Cement,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Sanctions|Security Issues & Conflict Zones|Trade
Fortum,Other,FI,FI|RU|UA,2023-01-27,Yes,0,Europe & Central Asia,Energy,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Sanctions|Security Issues & Conflict Zones|Trade
Infosys,Information technology,IN,IN|RU|UA,2023-01-23,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Sanctions|Security Issues & Conflict Zones|Trade
Glencore,Extractive,CH,CH|RU|UA,2023-01-27,Yes,0,Europe & Central Asia,"Oil, gas & coal","CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Security Issues & Conflict Zones|Trade
Mars,Food and beverage,US,RU|UA|US,2023-01-27,Yes,0,Europe & Central Asia,Food & beverage,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Security Issues & Conflict Zones|Trade
Cisco Systems,Information technology,US,RU|UA|US,2023-01-28,No,0,Europe & Central Asia,"Technology, telecom & electronics","CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Security Issues & Conflict Zones|Trade
Toyo Precision,Heavy manufacturing,JP,VN,2023-01-30,No,0,NA,Machine & machine tools,Vietnam: 600+ employees protest low wage hike and year-end bonus; Toyo Precision did not respond,Labour Rights|Living Wage|Protests
Ariantel,Information technology,IR,IR,2023-01-30,No,0,NA,NA,"Iran: Citizen Lab finds firms based in Russia, UK & Canada in ""advanced"" negotiations over service provision to authorities' legal intercept system; incl. co. comments",Right to Privacy|Surveillance
FIFA,Other,CH,QA,2023-01-31,Yes,0,NA,Major Sporting Events|Security companies,"Qatar 2022: Ex-Stark Security guards allegedly detained & deported following protests over terminations, wage theft & lack of accommodation; incl. FIFA response","FIFA World Cup|Protection from arbitrary arrest, detention or exile"
Auxico Resources,Extractive,CA,CO,2023-02-01,Yes,0,Americas,Mining,Colombia: Reportaje señala las preocupaciones por extracción de minerales de tierras raras para la transición energética en el Vichada,"Clean, Healthy & Sustainable Environment|Free, prior & informed consent|Indigenous Peoples|Land Rights"
TotalEnergies (formerly Total),Extractive,FR,TZ|UG,2023-02-02,Yes,0,NA,NA,Uganda: HRW raises concerns over EACOP impacts on communities,"Free, prior & informed consent"
NXP Semiconductors,Information technology,NL,NL|RU,2023-02-01,Yes,0,Europe & Central Asia,"Technology, telecom & electronics","Hundreds of Western components found in Russian Orlan drones used against Ukraine, supply chain investigation shows; incl. co. responses & non-responses",Sanctions|Security Issues & Conflict Zones|Trade
Stellantis,Heavy manufacturing,NL,CN,2023-01-24,Yes,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Volkswagen,Heavy manufacturing,DE,CN,2023-01-27,Yes,1,NA,Automobile & other motor vehicles,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery|Labour Rights|Supply Chains|Workers/Employees
PT Gunbuster Nickel Industry (GNI),Extractive,ID,ID,2023-02-06,No,0,NA,NA,Indonesia: Violent clashes at Chinese-owned nickel smelting facility as Indonesian workers protest over working conditions,Chinese Overseas Investment
Jiangsu Delong Nickel Industry Company Ltd.,Extractive,CN,ID,2023-02-06,No,0,NA,NA,"Indonesia: Delong Nickel accused of restricting workers' freedom through 'systematic wage withholding', arbitrary fines and sexual harassment; incl. co. non-response",Chinese Overseas Investment
BAIC Motor Corporation,Heavy manufacturing,CN,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Dongfeng Motor,Heavy manufacturing,CN,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
SAIC Motor,Heavy manufacturing,CN,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Nio Inc.,Heavy manufacturing,CN,CN,2023-02-06,Yes,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
China FAW Group (First Automobile Works),Heavy manufacturing,CN,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Guangzhou Automobile Group (GAC Motor),Heavy manufacturing,CN,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Mazda,Heavy manufacturing,JP,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Toyota,Heavy manufacturing,JP,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Mitsubishi Group,Other,JP,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Isuzu,Heavy manufacturing,JP,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Suzuki,Heavy manufacturing,JP,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Hyundai Group,Heavy manufacturing,KR,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Renault,Heavy manufacturing,FR,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Lucid Motors,Heavy manufacturing,US,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Ford,Heavy manufacturing,US,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Tesla,Heavy manufacturing,US,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Porsche,Heavy manufacturing,DE,CN,2023-02-06,No,1,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Tata Group,Other,IN,CN,2023-02-06,No,0,NA,NA,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,Forced Labour & Modern Slavery
Mitsubishi Motors,Heavy manufacturing,JP,CN,2023-01-31,Yes,0,NA,Automobile & other motor vehicles,Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region,"Forced Labour & Modern Slavery|Labour Rights|Racial, caste and ethnic groups|Racial, ethnicity, caste or origin discrimination|Supply Chains|Workers/Employees"
Leoni AG,Heavy manufacturing,DE,EG,2023-02-10,Yes,1,NA,Manufacturing: General,Egypt: Leoni workers protest low wages amid cost of living crisis; incl. co. response,Poverty Wages|Strikes and other work stoppages|Wage Theft
Legrand Electric Ltd,Information technology,GB,FR|RU,2023-02-10,No,0,Europe & Central Asia,"Technology, telecom & electronics","CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs)
BNY Mellon,Financial services,US,RU|US,2023-02-10,No,0,Europe & Central Asia,Finance & banking,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|UN Guiding Principles on Business & Human Rights (UNGPs)
Johnson & Johnson,Pharmaceutical and chemical,US,RU|US,2023-02-10,No,0,Europe & Central Asia,Pharmaceutical,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs)
Formosa Plastics,Heavy manufacturing,TW,VN,2023-02-13,No,0,NA,NA,Vietnam: Fire at Formosa steel factory evokes memories of 2016 environmental catastrophe,Chinese Overseas Investment
Buzzi Unicem,Heavy manufacturing,IT,IT|RU,2023-02-14,No,0,Europe & Central Asia,Cement,"Russia: Buzzi Unicem continues business expansion & supports its conscripted employees, new report shows; incl. co. non-response",Complicity|Sanctions|Security Issues & Conflict Zones|Trade
Dinant,Extractive,HN,HN,2023-02-09,Yes,0,NA,Agriculture & livestock,Honduras: Peasant leader who denounced the CEO of the agricultural company Dinant to the Public Prosecutor's Office is killed,Human Rights Defenders|Killings|Land Rights
Rolex,Retail and consumer products,CH,BR,2023-02-14,Yes,0,NA,Jewellery|Mining,Brazil: Organisations point out companies whose activities have potential connections with the illegal extraction of gold from the Yanomami Indigenous Land,"Clean, Healthy & Sustainable Environment|Indigenous Peoples|Land Rights|Supply Chains"
Ourominas,Financial services,BR,BR,2023-02-14,Yes,0,NA,Finance & banking|Mining,Brazil: Organisations point out companies whose activities have potential connections with the illegal extraction of gold from the Yanomami Indigenous Land,"Clean, Healthy & Sustainable Environment|Complicity|Indigenous Peoples|Land Rights|Lawsuits & regulatory action"
D'Gold (FDGOLD DTVM),Financial services,BR,BR,2023-02-14,No,0,NA,Finance & banking|Mining,Brazil: Organisations point out companies whose activities have potential connections with the illegal extraction of gold from the Yanomami Indigenous Land,"Clean, Healthy & Sustainable Environment|Complicity|Land Rights|Lawsuits & regulatory action"
Carol DTVM,Financial services,BR,BR,2023-02-14,No,0,NA,Finance & banking|Mining,Brazil: Organisations point out companies whose activities have potential connections with the illegal extraction of gold from the Yanomami Indigenous Land,"Clean, Healthy & Sustainable Environment|Complicity|Indigenous Peoples|Land Rights"
Tiffany,Retail and consumer products,US,BR,2023-02-14,Yes,0,NA,Jewellery|Mining,Brazil: Organisations point out companies whose activities have potential connections with the illegal extraction of gold from the Yanomami Indigenous Land,"Clean, Healthy & Sustainable Environment|Indigenous Peoples|Land Rights|Supply Chains"
Bulgari,Other,IT,BR,2023-02-14,No,0,NA,Jewellery|Mining,Brazil: Organisations point out companies whose activities have potential connections with the illegal extraction of gold from the Yanomami Indigenous Land,"Clean, Healthy & Sustainable Environment|Indigenous Peoples|Land Rights|Supply Chains"
Keller Group plc,Heavy manufacturing,GB,SA,2023-02-15,Yes,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
McKinsey,Financial services,US,SA,2023-02-15,Yes,0,NA,Services: General,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Air Products,Pharmaceutical and chemical,US,SA,2023-02-14,Yes,0,NA,Engineering,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Tesla,Heavy manufacturing,US,RU|US,2023-02-17,No,0,Europe & Central Asia,Automobile & other motor vehicles,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Divestment|Sanctions|Security Issues & Conflict Zones|Trade
Calian Group,Pharmaceutical and chemical,CA,CA|RU,2023-02-17,No,0,Europe & Central Asia,"Auditing, consulting & accounting","CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Divestment|Sanctions|Security Issues & Conflict Zones
Bonduelle,Food and beverage,FR,FR|RU,2023-02-17,No,0,Europe & Central Asia,Food & beverage,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade
DP Eurasia,Food and beverage,NL,RU,2023-02-20,No,0,Europe & Central Asia,Food & beverage,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Divestment|Security Issues & Conflict Zones
Poly Technologies,Information technology,CN,CN|RU,2023-02-20,No,0,Europe & Central Asia|Southeast Asia,"Technology, telecom & electronics","Chinese companies allegedly help equip Russian jet fighters, submarines & soldiers, recent trade data shows; incl. cos. comments & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade
Sinno Electronics,Information technology,CN,CN|RU,2023-02-20,No,0,Europe & Central Asia|Southeast Asia,"Technology, telecom & electronics","Chinese companies allegedly help equip Russian jet fighters, submarines & soldiers, recent trade data shows; incl. cos. comments & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade
China Taly Aviation Technologies Corp,Other,CN,CN|RU,2023-02-20,No,0,Europe & Central Asia|Southeast Asia,"Technology, telecom & electronics","Chinese companies allegedly help equip Russian jet fighters, submarines & soldiers, recent trade data shows; incl. cos. comments & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade
Siemens Energy AG,Infrastructure and utilities,DE,DE|RU,2023-02-17,Yes,1,Europe & Central Asia,Energy,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Sanctions|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs)
PepsiCo,Food and beverage,US,RU|US,2023-02-17,Yes,0,Europe & Central Asia,Food & beverage,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Complicity|Divestment|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs)
Elanco,Pharmaceutical and chemical,US,RU|US,2023-02-20,No,0,Europe & Central Asia,Pharmaceutical,"CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses",Divestment|Sanctions|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs)
Israel Electric,Infrastructure and utilities,IL,IL,2023-02-20,Yes,0,NA,Construction,Israel: Workers for Israel Electric subcontractor die in on-site accident; incl. IEC response,Deaths|Labour Rights|Workers/Employees
The Boston Consulting Group (BCG),Financial services,US,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Oliver Wyman,Financial services,US,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Solar Water,Infrastructure and utilities,GB,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Bechtel,Heavy manufacturing,US,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
AECOM,Heavy manufacturing,US,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Fomento de Construcciones y Contratas (FCC),Extractive,ES,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
China State Construction Engineering (CSCEC),Heavy manufacturing,CN,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Samsung C&T,Heavy manufacturing,KR,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
Hyundai E&C,Heavy manufacturing,KR,SA,2023-02-20,No,0,NA,Construction,Saudi Arabia: ALQST documents worsening judicial harassment against Al-Howaitat members protesting NEOM megaproject; incl. co. responses,Human Rights Defenders
FIFA,Other,CH,SA,2023-02-23,Yes,0,NA,Major Sporting Events,Saudi Arabia: Rights groups concerned over alleged lack of due diligence prior to Club World Cup award; incl. response from FIFA,Human Rights and Environmental Due Diligence (HREDD)
